"concept_cd","ICD_Description","Long_COVID_Likelihood_Speculative","Explanation_Speculative","Chronic_Status","Chronic_Explanation"
"ICD10:J15.3","Pneumonia due to streptococcus, group B","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:A43.0","Pulmonary nocardiosis","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:G61.89","Other inflammatory polyneuropathies","Moderate","Emerging evidence or plausible systemic associations","Variable","Can be acute or chronic depending on context"
"ICD10:I87.333","Chronic venous hypertension (idiopathic) with ulcer and inflammation of bilateral lower extremity","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I87.331","Chronic venous hypertension (idiopathic) with ulcer and inflammation of right lower extremity","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I87.302","Chronic venous hypertension (idiopathic) without complications of left lower extremity","Moderate-Low","Speculative but biologically plausible connections","Chronic","Inherently chronic condition or long-term management required"
"ICD10:I87.092","Postthrombotic syndrome with other complications of left lower extremity","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:O12.11","Gestational proteinuria, first trimester","Unlikely","No clear association with long COVID","Variable","Can be acute or chronic depending on context"
"ICD10:K50.814","Crohn's disease of both small and large intestine with abscess","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K50.818","Crohn's disease of both small and large intestine with other complication","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K50.114","Crohn's disease of large intestine with abscess","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K50.113","Crohn's disease of large intestine with fistula","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K50.012","Crohn's disease of small intestine with intestinal obstruction","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K50.913","Crohn's disease, unspecified, with fistula","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K51.818","Other ulcerative colitis with other complication","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K51.018","Ulcerative (chronic) pancolitis with other complication","Moderate","Emerging evidence or plausible systemic associations","Chronic","Inherently chronic condition or long-term management required"
"ICD10:K51.319","Ulcerative (chronic) rectosigmoiditis with unspecified complications","Low","Possible association based on systemic inflammation patterns","Chronic","Inherently chronic condition or long-term management required"
"ICD10:R05.4","Cough syncope","High","Core long COVID symptoms with strong evidence","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G47.23","Circadian rhythm sleep disorder, irregular sleep wake type","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:G47.11","Idiopathic hypersomnia with long sleep time","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:F51.19","Other hypersomnia not due to a substance or known physiological condition","Moderate-High","Well-documented secondary long COVID symptoms","Can-be-Chronic","Symptom/condition that can become chronic if persistent"
"ICD10:M48.12","Ankylosing hyperostosis [Forestier], cervical region","Low","Possible association based on systemic inflammation patterns","Variable","Can be acute or chronic depending on context"
"ICD10:M50.121","Cervical disc disorder at C4-C5 level with radiculopathy","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M46.49","Discitis, unspecified, multiple sites in spine","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M46.44","Discitis, unspecified, thoracic region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M46.45","Discitis, unspecified, thoracolumbar region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M43.22","Fusion of spine, cervical region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M43.25","Fusion of spine, thoracolumbar region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M48.26","Kissing spine, lumbar region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M50.323","Other cervical disc degeneration at C6-C7 level","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M50.821","Other cervical disc disorders at C4-C5 level","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M50.822","Other cervical disc disorders at C5-C6 level","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M50.823","Other cervical disc disorders at C6-C7 level","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M50.83","Other cervical disc disorders, cervicothoracic region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
"ICD10:M50.81","Other cervical disc disorders, high cervical region","Moderate-Low","Speculative but biologically plausible connections","Variable","Can be acute or chronic depending on context"
